name,address,telephone,website url
1849 Wine Company,"4441 South Downey Rd, Vernon, CA 90058",,
1870 Vins & Spiritueux,"1 Rue de l'Eglise, Monthey 1870, Valais",,
1 West Dupont Circle Wines & Liquors,"2012 P St NW. Washington, D.C. 20036",,
305 Wines,15904 SW 92nd Avenue Miami 33157,,
50 Second Finish - The Fine Wine Company,"Benkertstrasse 22, 14467 Potsdam, Brandenburg",,
67 Wine & Spirits NY,"179 Columbus Avenue, New York, NY 10023",,
8Wines.com,"Slikova 294/31, 169 00 Prague [Praha] 6",,
Aabalat Fine & Rare Wines,"Suite A4, 1360 Industrial Avenue, Petaluma, CA 94952",,
AA French Wine Pte Ltd.,"11 Changi South Lane, #04-03B, Onn Wah Building, Singapore 786154",,
Acker Merrall & Condit Hong Kong Auction,3/F China Merchants Godown B 18 Sai Ning Street Kennedy Town,,
Acker Merrall & Condit New York Retail,"160 West 72nd Street, New York, NY 10023",,
Acker Merrall & Condit Online Auctions,"160 West 72nd Street, New York, NY 10023",,
Acker Merrall & Condit USA Auction,"160 West 72nd Street, New York, NY 10023",,
Advintage,"4 Donnelly Street, Havelock North, Hawke's Bay",,
Aether Wines & Spirits Pte Ltd,29 NIVEN ROAD SINGAPORE 228376,,
AG Wines,"9b Denbigh Road, London W13 8QA",,
Albertwines2u,"3, Jalan Kip 3, Taman Perindustrian Kip, 52200 Kuala Lumpur, Selangor",,
Alex Marton Fine Wines,"Lavington House, Lavington Road, London W139NN",,
Allendale Wine Shoppe,"101 W Allendale Avenue, Allendale, NJ 07401",,
All Star Wine & Spirits,"579 Troy-Schenectady Road, Latham, NY 12110",,
All Wines B.V.,"Herengracht 520, Amsterdam 1017CC",,
Ally Wines,"48 Warwick St, Soho, London W1B 5NL",,
Altaya Wines,"20/F, 1 Lyndhurst Tower, 1 Lyndhurst Terrace, Central, Hong Kong",,
Amanti Vino,"30 Church Street, Montclair, NJ 07042",,
America's Wine Shop,"398 3rd Avenue, New York, NY 10016",,
